article,biomonitoring,biomonitoring/effect_marker,biomonitoring/effect_marker/biomarker,biomonitoring/effect_marker/biomarker/gene,biomonitoring/effect_marker/biomarker/molecule,biomonitoring/effect_marker/biomarker/molecule/lipid,biomonitoring/effect_marker/biomarker/molecule/other_molecule,biomonitoring/effect_marker/biomarker/molecule/protein,biomonitoring/effect_marker/biomarker/other,biomonitoring/effect_marker/biomarker/oxidative_stress,biomonitoring/effect_marker/physiological_parameter,biomonitoring/exposure_biomarker,biomonitoring/exposure_biomarker/adipose_tissue,biomonitoring/exposure_biomarker/blood,biomonitoring/exposure_biomarker/blood/children,biomonitoring/exposure_biomarker/blood/cord_blood,biomonitoring/exposure_biomarker/blood/pregnant_women,biomonitoring/exposure_biomarker/blood/workers,biomonitoring/exposure_biomarker/hair_nail,biomonitoring/exposure_biomarker/hair_nail/children,biomonitoring/exposure_biomarker/hair_nail/pregnant_women,biomonitoring/exposure_biomarker/hair_nail/workers,biomonitoring/exposure_biomarker/mothers_milk,biomonitoring/exposure_biomarker/other,biomonitoring/exposure_biomarker/placenta,biomonitoring/exposure_biomarker/urine,biomonitoring/exposure_biomarker/urine/children,biomonitoring/exposure_biomarker/urine/pregnant_women,biomonitoring/exposure_biomarker/urine/workers,exposure_routes,exposure_routes/combined,exposure_routes/dermal_uptake,exposure_routes/dermal_uptake/children,exposure_routes/dermal_uptake/pregnant_women,exposure_routes/dermal_uptake/workers,exposure_routes/inhalation,exposure_routes/inhalation/modeled_exposure,exposure_routes/inhalation/modeled_exposure/children,exposure_routes/inhalation/modeled_exposure/pregnant_women,exposure_routes/inhalation/modeled_exposure/workers,exposure_routes/inhalation/other,exposure_routes/inhalation/other/children,exposure_routes/inhalation/other/pregnant_women,exposure_routes/inhalation/other/workers,exposure_routes/inhalation/personal_measurement,exposure_routes/inhalation/personal_measurement/children,exposure_routes/inhalation/personal_measurement/pregnant_women,exposure_routes/inhalation/personal_measurement/workers,exposure_routes/oral_intake,exposure_routes/oral_intake/drinking_water,exposure_routes/oral_intake/drinking_water/children,exposure_routes/oral_intake/drinking_water/pregnant_women,exposure_routes/oral_intake/dust,exposure_routes/oral_intake/dust/children,exposure_routes/oral_intake/dust/pregnant_women,exposure_routes/oral_intake/dust/workers,exposure_routes/oral_intake/food,exposure_routes/oral_intake/food/children,exposure_routes/oral_intake/food/pregnant_women,exposure_routes/oral_intake/products,exposure_routes/oral_intake/products/children,exposure_routes/oral_intake/products/pregnant_women,exposure_routes/oral_intake/soil,exposure_routes/oral_intake/soil/children,exposure_routes/oral_intake/soil/pregnant_women,exposure_routes/oral_intake/soil/workers,site_comparisons,site_comparisons/polluted_area,site_comparisons/workplace
"Between September 1995 and September 1996 , 4-day composite duplicate plate samples ( 379 solid food samples and 303 beverage samples ) were obtained from a stratified random sample of 75 individuals in Maryland and analyzed for the presence of 10 pesticides .
Samples were collected in each of six approximately equally spaced cycles as part of a larger pilot investigation of longitudinal exposure to pesticides and other elements .
Chlorpyrifos was detected in 38.3% of the solid food samples , malathion in 75.2% , and p,p'-DDE in 21.4% .
Other pesticides were detected in less than 10% of the solid food samples .
Pesticide residues were not detected in duplicate beverage samples .
In solid food samples , the mean concentration of chlorpyrifos was 0.7 ( SD 1.7 ) microg/kg , 1.8 ( 2.1 ) for malathion , and 0.2 ( 0.6 ) for p,p'-DDE .
The detection rate and mean concentration of chlorpyrifos , malathion , and p,p'-DDE varied by a factor of 2-3 among sampling cycles and significantly according to results from several statistical analyses .
Co-occurrence of chlorpyrifos and malathion in solid food samples was found relatively frequently and also varied with time .
Pesticides were detected in food samples with greatest frequency in spring and summer months and with lowest frequency in winter months .
These results support the hypothesis that 4-day average exposure to chlorpyrifos and malathion varies over time for this population mean and for individual members of the population and that correlation between exposures to these two organophosphate pesticides can occur .
The measurements of pesticide levels in duplicate plate samples presented here can be used to evaluate and set parameters for dietary exposure models .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pentachlorophenol ( PCP ) , hexachlorocyclohexane-[alpha] , -beta , and -[gamma] ( HCH-[alpha] , -beta , and -[gamma] ) , polychlorinated biphenyls ( PCBs ) , and hexachlorobenzene ( HCB ) are widely distributed industrial chemicals .
They are suspected to induce immunologic impairments in exposed individuals .
We examined dose-response relationships of blood levels of these chemicals with cellular ( numbers of lymphocyte subpopulations , in vitro lymphocyte response ) or humoral ( plasma cytokine levels , immunoglobulin autoantibodies ) immunologic dysfunctions .
We studied 146 patients who had been occupationally exposed primarily to PCBs for more than 6 months .
Lymphocyte subpopulations , in vitro responses to mitogens and allogeneic stimulator cells , plasma neopterin , cytokines , soluble cytokine receptors , soluble adhesion molecules , anti-Ig autoantibodies , and liver transaminases were determined .
Blood levels of the different compounds were strongly correlated with one another .
There were only weak dose-response relationships between blood levels of PCBs with cellular immune parameters , and of HCHs and HCB with humoral immune parameters .
An exception was the statistically significant negative association of HCB with interferon-[gamma] ( IFN-[gamma] ) , indicating that HCB has a significant impact on Th1 lymphocytes .
Patients with HCB blood levels above the mean of 1,109 ng/L more often had undetectable IFN-[gamma] blood levels than patients below the mean .
Patients with increased PCB 138 ( > 710 ng/L ) had more frequently undetectable interleukin-4 blood levels than patients with PCB 138 below the mean , and patients with increased PCB 101 ( > 31 ng/L ) more often had low DR+ cell counts in the blood ( < 190/microL ) than patients with PCB 101 below the mean .
To assess possible cumulative effects , we compared patients who had blood levels of all compounds below background with patients who had blood levels of all compounds above background .
Patients with low or absent blood levels of the compounds studied had higher IFN-[gamma] plasma levels , providing some evidence for a cumulative effect of several weakly active compounds .
In conclusion , exposure to PCBs , HCB , or HCHs is associated with weak immunologic abnormalities .
These results contrast with those obtained in earlier studies of blood levels of PCP , which showed a strong dose-dependent relationship with immunologic impairments .
Our data suggest that long-term exposure of patients to HCB suppresses IFN-[gamma] production .",1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tremor is being increasingly evaluated by quantitative computer-based systems to differentiate its causes .
In this study , a group of mercury-exposed workers were assessed to determine whether tremor characteristics differed by exposure level .
Workers were classified into two groups : those with an average urine mercury concentration below the American Conference of Government Industrial Hygienist Biological Exposure Index of 35 micrograms/g creatinine , and those with an average urine mercury concentration above the Biological Exposure Index .
Tremor characteristics ( including intensity , harmonic index , center frequency , standard deviation of the center frequency , and tremor index ) were measured and recorded with a computer-based tremor system .
Sixteen of 17 workers who were potentially exposed to mercury participated in the study .
Three workers had a mean urine mercury concentration of 27.0 micrograms/g-creatinine and were assigned to the low-exposure group , and 13 workers had a mean urine mercury concentration of 200.2 micrograms/g-creatinine and were assigned to the high-exposure group .
There was a statistically significant difference in the tremor index ( which compiles five individual tremor parameters into a single value ) between the two groups ( P = 0.04 ; Wilcoxon's rank sum test ) .
Other tremor characteristics did not differ significantly between the groups .
Tremor index may be more useful than measures of individual tremor parameters in differentiating normal from subclinical pathological tremors among groups of workers with chronic mercury exposure .",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The objective of this paper is to devise a way to facilitate the use of fixed air monitors data in order to assess population exposure .
A weighting scheme that uses the data from different monitoring sites and takes into account the time-activity patterns of the study population is proposed .
PM2.5 personal monitoring data were obtained within the European EXPOLIS study , in Grenoble , France ( 40 adult non-smoking volunteers , winter 1997 ) .
Volunteers carried PM2.5 personal monitors during 48 h and filled in time-activity diaries .
Workplaces and places of residence were classified into two categories using a Geographic Information System ( GIS ) : some volunteers ' life environments are seen as best represented by PM10 ambient air monitors located in urban background sites ; others by monitors situated close to high traffic density sites ( proximity sites ) .
Measurements from the Grenoble fixed monitoring network using a TEOM PM10 sampler were available across the same period for these two types of sites ( PM10block and PM10prox ) .
These data were used to compute a translator parameter deltai that forces the measured PM2.5 personal exposures ( PM2.5persoi ) to equate the average PM10 urban ambient air concentrations ( [ PM10back + PM10prox]/2 ) measured the same days .
Average deltai was 4.2 microg/m3 ( CI95%[-3.4 ; 11.9] ) , with true average PM2.5 personal exposure being 36.2 microg/m3 ( 28.2 ; 44.1 ) .
PM10 ambient levels at the proximity site and at the background site were respectively PM10prox = 43.8 microg/m3 ( 37.1 ; 50.6 ) and PM10back = 37.0 microg/m3 ( 31.8 ; 42.3 ) .
In order to assess the consistency of this approach , six scenarios of ' proximity ' and ' background ' environments were accommodated , according to traffic intensity and road distance .
Deltai was estimated for the entire EXPOLIS population and for subgroups , using terciles based on the percentage of time spent in proximity by each subject .
Other similar studies need to be conducted in different urban settings , and with other pollutants , in order to assess the generalizability of this simple approach to estimate population exposures from air quality surveillance data .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The region of Diwalwal , dominated by Mt .
Diwata , is a gold rush area on Mindanao ( Philippines ) where approximately 15000 people live .
The fertile plain of Monkayo is situated downstream , where people grow crops such as rice and bananas ; locally caught fish is eaten frequently .
The ore is dug in small-scale mines and ground to a powder by ball-mills while still in Diwalwal .
The gold is then extracted by adding liquid mercury ( Hg ) , forming gold-amalgam .
To separate the gold from the Hg , in most cases the amalgam is simply heated in the open by blow-torches .
A high external Hg burden of the local population must be assumed .
To evaluate the internal Hg burden of the population and the extent of possible negative health effects , 323 volunteers from Mt .
Diwalwal , Monkayo and a control group from Davao were examined by a questionnaire , neurological examination and neuro-psychological testing .
Blood , urine and hair samples were taken from each participant and analyzed for total Hg .
A statistical evaluation was possible for 102 workers ( occupationally Hg burdened ball-millers and amalgam-smelters ) , 63 other inhabitants from Mt .
Diwata ( 'only ' exposed from the environment ) , 100 persons , living downstream in Monkayo , and 42 inhabitants of Davao ( serving as controls ) .
The large volume of data was reduced to yes/no decisions .
Alcohol as a possible bias factor was excluded ( level of alcohol consumption and type , see Section 4.4 ) .
Each factor with a statistically significant difference of at least one exposed group to the control group was included in a medical score ( 0-21 points ) .
In each of the exposed groups this score was significantly worse than in the control group ( median control , 3 ; downstream , 9 ; Mt .
Diwata , non-occupational exposed , 6 ; Hg workers , 10 ) .
In comparison to the surprisingly high Hg concentration in blood ( median , 9.0 microg/l ; max , 31.3 ) and in hair ( 2.65 microg/g ; max , 34.7 ) of the control group , only the workers show elevated levels : Hg-blood median 11.4 , max 107.6 ; Hg-hair median 3.62 , max 37.8 .
The Hg urine concentrations of the occupational exposed and non-exposed population on Mt .
Diwata was significantly higher than in the control group : control median 1.7 microg/l , max 7.6 ; non-occupational burdened median 4.1 , max 76.4 ; and workers median 11.0 , max 294.2 .
The participants , living downstream on the plain of Monkayo show no statistically significant difference in Hg-blood , Hg-urine or Hg-hair in comparison with the control group .
The German Human-Biological-Monitoring value II ( HBM II ) was exceeded in 19.5% ( control ) , 26.0% ( downstream ) , 19.4% ( Mt .
Diwata , non-occupational ) and 55.4% ( workers ) of the cases , the German occupational threshold limit in 19.6% of the workers .
Only some of the clinical data , characteristic for Hg intoxication ( e.g. tremor , loss of memory , bluish discoloration of the gingiva , etc. ) , correlate with Hg in blood or urine , but not with Hg in hair .
The medical score sum correlates only with Hg in urine .
The poor correlation between the Hg concentration in the biomonitors to classic clinical signs of chronic Hg intoxication may be explained by several factors : Hg in blood , urine and hair do not adequately monitor the Hg burden of the target tissues , especially the brain .
Inter-individual differences in the sensitiveness to Hg are extremely large .
In this area a mixed burden of Hg species must be assumed ( Hg vapor , inorganic Hg , methyl-Hg ) .
Chronic Hg burden may have established damage months or even years before the actual determination of the Hg concentrations in the bio-monitors under quite different burden was performed ( Drasch G. Mercury .
In : Seiler HG , Sigel A , Sigel H , editors .
Handbook on metals in clinical and analytical chemistry .
New York : Marcel Dekker , 1994:479-494 ) .
Therefore , a ' Hg intoxication ' , that should be treated , was not diagnosed by the Hg concentration in the bio-monitors alone , but by a balanced combination of these Hg values and the medical score sum .
In principle , this means the higher the Hg concentration in the bio-monitors , the lower the number of characteri",1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"As part of the assessment of a site in northern France polluted by metals from two smelters ( in particular , lead , cadmium and mercury ) , a cross-sectional study was carried out which intended to estimate the levels of the lead burden of the adult population living on the site and the factors associated with these levels .
The exposed zone included 10 municipalities in the Nord-Pas de Calais region , located in the vicinity of two non-ferrous metal smelters .
The soils in these municipalities contained between 100 and 1700 ppm of lead .
The non-polluted zone contained 20 municipalities from the same region , drawn randomly from those in the region of comparable size but free from any industrial lead exposure .
The adult study population ( 301 men and 300 women ) was stratified according to age , sex , employment status and exposure level .
The inclusion criteria required subjects who were aged between 20 and 50 years and had been living in the exposed zone for at least 8 years ; the exclusion criteria were pregnancy , cancer , kidney disease and diabetes .
No more than 10% of the subjects participating could work at one of the two smelters .
Data collection took place at home ; visiting nurses interviewed subjects to complete a questionnaire and also took blood samples .
The lead assay was performed by atomic absorption spectrometry .
The geometric mean of the blood-lead levels was 74 microg/l , 95% CI = 69-80 among men and 49 microg/l , 95% CI = 46-53 among women .
Blood-lead levels exceeding 100 microg/l were found among 30% of men and 12% of women .
Several factors were associated with variation of the mean blood-lead level : the blood-lead level was significantly higher among the men for subjects living less than 1 km from the smelters ( geometric mean x 1.3 , 95% CI = 1.1-1.6 ) , for those who drink alcoholic beverages ( x 1.1 , 95% CI = 1.0-1.2 for consumption of 30 g/day ) , those who smoke ( x 1.2 , 95% CI = 1.0-1.3 for 20 cigarettes/day ) , and for subjects with occupational exposure ; among the women , for subjects living less than 1 km from the smelters ( geometric mean x 1.5 , 95% CI = 1.2-1.7 ) , for those who drink alcohol ( x 1.1 , 95% CI = 1.1-1.2 for a daily consumption of 10 g ) , and for women living in a building constructed before 1948 ( x 1.2 , 95% CI = 1.0-1.4 ) .",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"In a previous study , we speculated that some of the high mercury levels observed in head hair from a total of 14 subjects who resided around Lake Victoria , Tanzania , might be attributable to the habitual use of toilet soap containing considerable amounts of mercury ( Harada et al .
Sci Total Environ 1999;227:249-256 ) .
In August 1998 , the current study was conducted to investigate if such mercury-containing soap was also available in the surroundings of Lake Victoria , Kenya , and if so , its toxic effects .
A total of nine goldminers , 44 fishermen and their families , and 12 residents of Kisumu City , Kenya , volunteered for the study .
Fourteen types of toilet soap were collected in Kisumu .
Total mercury content was very significantly higher than in European-made soap ( 0.47-1.7% , as mercury iodide ) compared with Kenya-made soap ( 0.41 x 10(-4)-6.2 x 10(-4)% ) .
Indeed , all the subjects with a high hair mercury level ( > 36.1 ppm ) had made habitual use of European-made soap , accompanied by various symptoms , such as tremor , lassitude , vertigo , neurosthenia , and black and white blots , suggesting inorganic-mercury poisoning .
On the other hand , any subject who had used soap other than the European-made soap , did not exceed a mercury level of 10 ppm in hair that is well within normal limits ( Harada et al .
Sci Total Environ 1999:227:249-256 ) .
The findings obtained suggest that the mercury-containing soap must be barred from circulation without delay , and that the residents ' health in addition to the environmental pollution in Lake Victoria ( Kenya as well as Tanzania ) should be kept under close observation .",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Workers who work near volatile organic compounds ( VOCs ) source(s) , motor vehicle exhausts and/or gasoline vapor emissions , are suspected to be exposed to highly-elevated VOC levels during their work-time .
This study confirmed this suspicion and evaluated the work-time exposure VOCs for traffic police officers , parking garage attendants , service station attendants , roadside storekeepers and underground storekeepers , by measuring the concentrations of six aromatic VOCs in workplace air , or personal air and breath samples .
For nearly all target VOCs , the post-work breath concentrations of the workers were slightly or significantly higher than the pre-work breath concentrations , depending on the compound and occupation .
Furthermore , both the pre- and post-work breath concentrations of the workers showed elevated levels compared with a control group of college students .
The post-work breath concentrations were significantly correlated with the personal air concentrations , while the pre-work breath concentrations were not .
Smoking workers were not always exposed to higher aromatic VOC levels than non-smoking workers .
The breath and personal air concentrations for all the target compounds were both higher for underground parking garage attendants than for ground-level parking attendants .
For all the target compounds except toluene , storekeepers exhibited similar levels of exposure for all store types .
Print shopkeepers recorded the highest toluene exposure .",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"BACKGROUND Results from a 1990-1992 longitudinal study of several reinforced plastics plants showed that for those workers whose styrene exposure had decreased , color vision ( CV ) improved ; while near visual contrast sensitivity ( CS ) was poorer .
METHODS In 1999 , we retested these visual functions in 18 workers with good visual acuity .
A cumulative exposure index ( CEI ) , corrected for respirator use , was calculated for each worker .
RESULTS Intra-individual comparison of mandelic acid ( MA ) showed a significant decrease over time ( Friedman ; P = 0.015 ) , but current values were not related to CEI .
For CV , no significant difference was observed between 1992 and 1999 ; present results were not related to MA or CEI .
The CS profile decreased over time , with significant differences at 3 cpd ( Friedman ; P < 0.05 ) .
CS did not vary with MA levels , but was significantly depressed at the intermediate frequencies among those in the upper CEIH category ( Kruskal-Wallis ; P < 0.05 ) .
CONCLUSIONS These findings suggest that CS loss increases with long-term cumulative exposure , reflecting chronic damage to the neuro-optic pathways .",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BACKGROUND Exposure to chemicals in polluted soil was studied during the remediation of four polluted sites .
They are sawmill areas contaminated with chlorophenols and polychlorinated dibenzo-p-dioxins and furanes ( PCDD/F ) , wood impregnating plants contaminated with polycyclic aromatic hydrocarbons ( PAH ) from creosote oil , old gas works area contaminated with PAH , and a wood impregnation plant contaminated with copper-chromium-arsenic ( CCA ) preservative .
METHODS The exposure levels were determined by both air and biological monitoring .
RESULTS Air monitoring showed that the exposure levels were generally well below the current occupational exposure limits .
The calculations indicated , however , that the lowest acceptable daily intake value recommended for PCDD/F by the U.S. Environmental Protection Agency was exceeded .
Chlorophenol exposure was generally low .
Exposure to volatile PAH was 0.038-0.884 mg/m(3) and that to particulate PAH was 0.004-0.183 mg/m(3) .
The biomonitoring results ( urinary 1-pyrenol ) suggested that some exposure occurs , probably through the contamination of hands or skin absorption .
At the sites contaminated with CCA salts , no exposure limits were exceeded .
CONCLUSIONS The results generally suggest that the exposure of cleanup workers is generally below the current occupational exposure limits but that short-term high exposure cannot be excluded .
There was also some indication of poor skin protection , which should be improved when soil contaminated with PAH and creosote oil is handled .",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The objective of this study was to analyse the immune response to electromagnetic fields ( ELMFs ) in seven men and eight women employed in a museum .
The workers were exposed in a room to an ELMFs ( range 0.2-3.6 microT and 40-120 V/m ) induced by 50 Hz electricity for 20 h a week .
Control groups consisted of 47 women and 39 men with a similar percentage of atopic subjects , age ( range 30-51 years ) and smoking habits of the workers included in the study .
Levels of blood lead ( Pb ) and urinary trans-trans muconic acid , a metabolite of benzene ( markers of exposure to traffic and smoking ) of the control and exposed groups were similar .
Lymphocyte subsets were determined in men and women using conjugated antibodies .
Serum interleukin ( IL ) 4 and interferon gamma and their ' in vitro ' production by peripheral mononuclear blood cells ( PMBCs ) stimulated by phytohemoglutinin ( PHA ) , as well as blastogenesis of PMBCs induced by PHA , were determined in women only .
ELMF-exposed women showed a significant reduction in the percentage of B and NK CD3(-)-CD25+ lymphocytes and a slight reduction of CD16(+)-56+ NK lymphocytes .
They also showed significantly lower levels of interferon gamma in serum , or produced in the supernatants by PMBCs both spontaneously and stimulated by PHA , while they did not show significant changes in serum and ' in vitro ' produced IL-4 , or in blastogenesis of PMBCs .
Men working in the museum showed , in relation to the controls , a statistically significant reduction in both number and percentage of CD16(+)- CD56+ and CD3(-)-CD25+ lymphocyte subsets .
On the whole , this investigation demonstrates a reduction of blood NK lymphocytes and of the production of interferon gamma in workers exposed to low frequency ELMFs .
Recent studies have shown that stress and poor lifestyle induce the reduction of blood cytotoxic activities possibly acting on nervous functions .
This may suggest that ELMFs reduces blood NK lymphocytes by combined effects on the immune and nervous systems .",1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Our previous research ( Soleo L , Vacca A , Vimercati L et al .
Occup Environ Med 1997;54:437-442 ) showed a reduction in tumor necrosis factor-alpha ( TNF-alpha ) serum levels in workers with prolonged exposure to low doses of inorganic mercury , suggesting an in vivo functional defect of the monocyte-macrophage system .
On this basis , here we wondered whether workers exposed to lower doses of metallic mercury displayed possible changes in the monocyte-macrophage system .
In this particular cohort of workers , we also sought for the effects of the exposure on the polymorphonuclear leukocytes ( PMNL ) chemotaxis .
The monocyte-macrophage system and the natural killer ( NK ) cells were examined in 19 exposed workers and in 25 unexposed workers , as the control group ( controls ) .
Specifically , the circulating monocyte-macrophage cells and their CD13 , CD15 and CD33 subsets , serum cytokines ( IL-8 , GM-CSF and TNF-alpha ) and the NK cells were analyzed .
In seven exposed and seven controls randomly chosen workers the PMNL chemotaxis was also assessed .
The selected indicator of mercury exposure were the levels of mercury in the urine ( U-Hg ) , that was significantly higher in exposed workers than the controls ( 9.7 +/- 5.5 microg/l and 2.4 +/- 1.2 microg/l , respectively ) .
None of the exposed workers had shown signs of either acute or chronic inorganic mercury toxicity or any form of hypersensitivity .
Several immunological variables tested , monocyte-macrophage cells and their subsets , NK cells and serum cytokines overlapped between the exposed and the control workers .
When the workers were considered as a whole ( exposed plus controls ) , no correlation was found between current U-Hg and all immunological parameters .
However , when exposed workers were studied separately , an inverse correlation was disclosed between cumulative U-Hg and cells ( as percentage ) expressing the CD13 ( r = -0.599 ; P = 0.007 ) and CD15 ( r = -0.614 ; P = 0.005 ) molecules , and NK cells ( r = -0.455 ; P = 0.05 ) .
Moreover , a significant impairment in the PMNL chemotaxis ( t = 3.70 ; P = 0.003 ) was observed in the exposed workers .
The results of our study suggest that the exposure to very low levels of metallic mercury led to subtle impairment of circulating monocyte and NK cells ( as percentages ) according to the increase in U-Hg levels , as well as of the PMNL chemotactic function in this particular group of workers , even though they remain clinically asymptomatic .
Therefore , we suggest that impairment of these parameters provide a sensitive indicator of metallic mercury and other chemical contaminants present in the environment .",1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Daily variations in ambient particulate air pollution are associated with variations in respiratory lung function .
It has been suggested that the effects of particulate matter may be due to particles in the ultrafine ( 0.01-0.1 microm ) size range .
Because previous studies on ultrafine particles only used self-monitored peak expiratory flow rate ( PEFR ) , we assessed the associations between particle mass and number concentrations in several size ranges measured at a central site and measured ( biweekly ) spirometric lung function among a group of 54 adult asthmatics ( n = 495 measurements ) .
We also compared results to daily morning , afternoon , and evening PEFR measurements done at home ( n = 7,672-8,110 measurements ) .
The median ( maximum ) 24 hr number concentrations were 14,500/cm(3) ( 46,500/cm(3) ) ultrafine particles and 800/cm(3) ( 2,800/cm(3) ) accumulation mode ( 0.1-1 microm ) particles .
The median ( maximum ) mass concentration of PM(2.5) ( particulate matter < 2.5 microm ) and PM(10) ( particulate matter < 10 microm in aerodynamic diameter ) were 8.4 microg/m(3) ( 38.3 microg/m(3) ) and 13.5 microg/m(3) ( 73.7 microg/m(3) ) , respectively .
The number of accumulation mode particles was consistently inversely associated with PEFR in spirometry .
Inverse , but nonsignificant , associations were observed with ultrafine particles , and no associations were observed with large particles ( PM(10) ) .
Compared to the effect estimates for self-monitored PEFR , the effect estimates for spirometric PEFR tended to be larger .
The standard errors were also larger , probably due to the lower number of spirometric measurements .
The present results support the need to monitor the particle number and size distributions in urban air in addition to mass .",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skin diseases , such as hand dermatitis , are thought to be a common problem in the rubber manufacturing industry , as workers are exposed to a wide range of chemicals with known irritant and sensitizing potential .
We conducted a cross-sectional survey of a representative sample of rubber manufacturing workers ( N = 202 ) , selected from nine different rubber companies .
Prevalence of hand dermatitis ( ""major "" and "" minor "" dermatitis ) and skin injuries was assessed on the basis of a diagnosis by a dermatologist .
We investigated the possible relations between actual skin exposure , handwashing practices , and hand dermatitis .
Prevalence of major hand dermatitis ( 7% ) was comparable with that in the general population ; however , minor signs of dermatitis were more common among the surveyed population ( 28% ) , as were traumata of the skin ( 17% ) .
Dermal exposure to cyclohexane-soluble agents at work was related to the occurrence of major hand dermatitis , but not to the occurrence of minor hand dermatitis .
Moderate and frequent handwashing especially with industrial surfactants containing scrubbing particles were found to be strongly associated with the occurrence of minor dermatitis [ odds ratio = 4.27 ( 95% confidence interval = 0.90-20.27 ) and odds ratio = 6.38 ( 95% confidence interval = 1.33-30.17 , respectively) ] .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
